00000,01000,00100,01100,00010,01010,00110,01110,00001,01001,00101,01101,00011,01011,00111,01111
0,0,1,0,2,0,0,0,1,0,6,0,1,0,0,44
0,0,12,0,0,1,0,0,1,0,0,0,0,6,0,18
0,0,0,8,2,1,0,0,1,0,2,0,10,0,0,117
0,0,0,0,1,5,0,0,1,0,3,2,0,0,0,14
0,1,1,0,3,6,0,0,1,0,21,2,0,0,0,29
0,1,2,0,0,6,0,0,2,0,13,0,0,0,0,30
0,0,0,0,0,2,0,0,2,0,12,0,2,1,0,36
0,1,3,0,1,2,0,0,1,0,10,0,0,0,0,47
0,2,15,2,0,0,0,0,0,0,0,0,6,7,0,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,2,0,2,4,4,0,0,0,0,10,1,0,0,0,24
0,2,2,0,3,4,0,0,0,0,13,0,0,0,0,37
0,8,1,0,9,8,0,0,6,0,24,0,1,0,0,39
0,2,0,0,3,1,0,0,7,0,3,0,1,0,0,13
0,0,1,2,4,4,0,0,3,0,4,0,0,0,0,17
0,0,7,3,0,0,0,0,2,0,0,0,3,0,0,27
0,1,8,8,0,0,0,43,27,0,1,0,7,0,0,15
0,3,3,1,12,29,0,3,9,0,34,0,2,0,0,64
0,1,2,1,1,10,0,0,3,0,24,0,0,0,0,45
0,3,6,0,8,15,0,1,5,0,18,1,0,0,2,113
0,2,1,3,0,6,0,0,1,0,3,0,0,0,0,28
0,2,2,3,5,2,0,1,3,0,14,1,0,0,0,46
0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,45
0,0,3,1,0,13,0,0,0,0,16,0,0,0,0,25
0,2,1,0,1,1,0,0,2,0,19,0,2,0,0,39
0,1,2,1,0,2,0,0,5,0,7,0,0,0,0,17
0,0,1,4,6,10,0,0,9,0,18,0,3,0,0,86
0,5,1,0,0,6,0,2,4,0,22,0,1,0,0,20
0,2,1,2,4,0,0,0,5,0,20,0,1,0,0,28
0,1,7,4,4,18,1,0,3,0,31,0,5,0,1,59
0,5,2,9,1,2,0,0,2,0,4,1,0,2,0,9
0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,36
0,0,5,0,4,4,0,0,4,0,35,0,0,0,0,19
0,4,12,2,0,4,0,0,1,0,4,0,0,5,0,19
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20
0,1,1,1,4,5,0,1,5,0,5,0,0,0,0,19
0,2,6,1,1,21,0,0,5,0,25,0,1,2,0,35
0,0,0,0,0,2,0,0,3,0,6,1,0,0,0,76
0,0,14,5,0,0,0,0,0,0,0,0,1,3,0,55
0,1,2,3,5,5,0,0,1,0,10,0,4,0,0,24
0,2,0,0,1,2,0,0,3,0,5,0,1,0,0,10
0,6,2,4,4,11,0,0,3,0,9,0,3,0,0,25
0,2,1,2,1,11,0,5,7,0,8,0,1,0,1,41
0,16,8,0,17,27,0,0,10,0,24,1,4,0,1,61
0,2,0,0,6,10,0,0,1,0,18,2,0,0,0,26
0,2,0,1,0,1,0,2,2,0,1,0,1,0,0,24
0,7,11,6,9,22,0,0,11,0,28,0,2,0,0,91
0,0,2,1,1,0,0,0,1,0,5,0,0,0,0,22
0,2,0,0,5,7,0,0,0,0,12,0,0,0,0,67
0,28,7,0,27,28,0,0,21,0,32,6,0,0,2,143
0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,42
0,4,2,1,3,6,0,0,2,0,11,0,0,0,2,41
0,3,0,3,0,5,0,0,2,0,4,0,0,0,0,18
0,4,3,2,0,3,0,2,5,0,4,0,1,0,0,96
0,1,0,2,1,3,0,1,1,0,3,0,1,0,2,26
0,5,4,1,10,0,0,0,8,0,5,3,0,0,1,87
0,2,1,1,0,2,0,2,6,0,2,0,4,1,0,25
0,0,5,0,2,0,0,0,4,0,0,0,0,0,0,69
0,1,9,0,6,6,0,1,10,0,19,4,0,0,3,134
0,4,8,1,3,0,1,2,8,1,0,0,1,2,0,52
0,4,4,0,0,0,0,0,10,0,0,0,4,0,1,22
0,2,3,1,2,0,0,0,9,0,0,1,1,1,0,46
0,3,2,4,1,0,0,1,4,0,0,0,0,0,0,21
0,1,5,3,0,0,0,0,2,0,0,0,5,1,1,31
0,3,0,0,2,0,0,0,4,0,6,3,0,1,0,20
0,0,0,0,1,0,0,0,1,0,2,4,0,1,0,21
0,3,2,0,5,6,0,1,3,0,11,0,1,0,0,45
0,1,6,9,1,0,0,0,2,0,0,0,4,0,0,41
0,0,5,0,1,0,0,0,0,0,0,0,2,0,1,38
0,17,3,3,12,3,0,0,5,0,13,3,2,0,2,80
0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,4
