Chromosome,Start,Length,ID,1010,0101,0100,0001,1000,0010,1100,0011,1110,1101,1011,0111,1001,0110
Chromosome_1,68407675,58116,g1016.t1,0,0,0,5,1,4,1,1,0,1,0,0,0,0
Chromosome_1,68490527,50209,g1017.t1,0,0,8,5,9,0,3,2,0,0,1,3,0,0
Chromosome_1,68550185,43995,g1018.t1,0,0,7,8,2,3,6,8,0,0,0,1,0,0
Chromosome_1,68661848,27783,g1019.t1,0,0,2,2,1,1,0,0,0,0,2,0,0,0
Chromosome_1,69424468,54157,g1027.t1,0,0,5,0,2,0,1,0,1,1,3,0,0,0
Chromosome_1,70242118,86932,g1040.t1,0,0,12,16,4,20,33,25,1,0,2,1,0,0
Chromosome_1,70346214,75547,g1041.t1,0,0,15,12,2,7,2,7,1,0,1,0,0,0
Chromosome_1,70504996,60997,g1042.t1,0,0,3,8,1,2,3,3,0,0,0,0,0,0
Chromosome_1,70639184,45968,g1045.t1,0,0,1,2,1,0,1,0,1,0,0,0,0,0
Chromosome_1,70789536,177152,g1049.t1,0,0,64,9,10,12,16,22,0,1,33,1,0,0
Chromosome_1,71001011,85097,g1051.t1,0,0,8,7,5,5,5,18,0,0,0,0,0,0
Chromosome_1,71118226,34503,g1053.t1,0,0,3,2,0,5,0,0,0,0,0,0,0,0
Chromosome_1,71533849,24069,g1063.t2,0,0,0,8,0,1,3,1,2,0,0,0,0,0
Chromosome_1,71593816,75243,g1066.t1,0,0,0,5,0,0,3,1,0,1,0,0,0,0
Chromosome_1,71886725,13891,g1072.t1,0,0,3,3,4,1,1,1,4,0,0,0,0,0
Chromosome_1,72015637,18285,g1075.t1,0,0,4,2,0,2,0,0,0,0,0,0,0,0
Chromosome_1,72324944,11345,g1079.t1,0,0,1,16,5,13,28,24,0,0,0,0,0,0
Chromosome_1,72423437,168257,g1083.t1,0,0,4,2,4,4,10,11,1,0,0,0,0,0
Chromosome_1,72611958,113576,g1084.t1,0,0,3,3,0,2,14,14,0,0,1,0,0,0
Chromosome_1,72729342,241262,g1085.t2,0,0,4,2,1,0,5,7,0,0,0,0,0,0
Chromosome_1,73049216,120176,g1088.t1,0,0,5,1,1,0,15,24,0,0,0,0,0,0
Chromosome_1,73190260,164742,g1089.t1,0,0,1,2,1,1,9,10,0,0,0,0,0,0
Chromosome_1,73493575,525,g1094.t1,0,0,5,0,0,0,0,1,0,0,1,0,0,0
Chromosome_1,73841136,187515,g1104.t1,0,0,1,8,2,5,16,21,0,0,0,0,0,0
Chromosome_1,74028697,19251,g1105.t1,0,0,5,5,1,2,25,25,1,3,0,0,0,0
Chromosome_1,74166074,166670,g1108.t2,0,0,2,10,1,2,24,18,2,2,1,0,0,0
Chromosome_1,75623982,17217,g1134.t1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Chromosome_1,76244443,134485,g1147.t1,0,0,2,8,2,2,7,8,0,1,0,0,0,0
Chromosome_1,76769148,6025,g1161.t1,0,0,0,2,2,1,4,2,1,0,0,0,0,0
Chromosome_1,77412960,147951,g1176.t1,0,0,2,1,1,4,0,0,0,0,0,0,0,0
Chromosome_1,77824524,20013,g1180.t1,0,0,0,3,1,2,3,2,0,0,1,0,0,0
Chromosome_1,77845290,62755,g1181.t1,0,0,0,2,2,2,3,6,0,0,0,0,0,0
Chromosome_1,77966441,11263,g1182.t1,0,0,1,2,0,0,8,9,1,0,0,0,0,0
Chromosome_1,78014359,39281,g1184.t1,0,0,1,5,2,3,5,22,0,0,0,0,0,0
Chromosome_1,78105865,765,g1187.t1,0,0,0,5,1,0,1,0,0,0,0,0,0,0
Chromosome_1,78116984,133657,g1188.t1,0,0,1,3,1,3,9,5,0,0,0,0,0,0
Chromosome_1,78788634,46125,g1202.t1,0,0,3,3,1,1,9,8,0,0,0,0,0,0
Chromosome_1,79007301,9686,g1205.t1,0,0,2,1,0,0,10,6,0,0,0,0,0,0
Chromosome_1,79620280,55146,g1218.t1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Chromosome_1,80003602,315,g1223.t1,0,0,1,1,0,0,3,2,0,0,0,0,0,0
Chromosome_1,80017130,25038,g1226.t1,0,0,3,3,1,1,2,0,0,0,0,0,0,0
Chromosome_1,80110002,29325,g1227.t1,0,0,0,0,2,1,4,3,0,0,0,0,0,0
Chromosome_1,80147748,35189,g1229.t2,0,0,1,4,0,1,3,1,0,0,0,0,0,0
